"01-2022","Janeiro 2022",165994,10000
"12-2021","Dezembro 2021",165995,20000
"01-2022","Janeiro 2022",165995,10012
"02-2022","Fevereiro 2022",165995,30000
"12-2021","Dezembro 2021",165996,20000
"02-2022","Fevereiro 2022",165996,20000
"01-2022","Janeiro 2022",165996,10000
"03-2022","Março 2022",173620,10000
"05-2022","Maio 2022",173620,10006
"04-2022","Abril 2022",173620,10000
"03-2022","Março 2022",173621,10000
"05-2022","Maio 2022",173621,10000
"04-2022","Abril 2022",173621,10000
"03-2022","Março 2022",173622,10000
"05-2022","Maio 2022",173622,10000
"04-2022","Abril 2022",173622,10000
"12-2021","Dezembro 2021",165986,20000
"02-2022","Fevereiro 2022",165986,20000
"01-2022","Janeiro 2022",165986,10000
"12-2021","Dezembro 2021",165987,20000
"02-2022","Fevereiro 2022",165987,30000
